model_id,org,proposed_launch_date,evidence_url,evidence_domain,evidence_title,evidence_published_date,evidence_type,supporting_snippet,notes,collector_agent,collected_at_utc,judge_status,judge_reason,required_fix,judge_confidence,judged_at_utc,attempt_count
anthropic/claude-3-haiku,anthropic,2024-03-13,https://www.anthropic.com/news/claude-3-haiku,anthropic.com,Claude 3 Haiku: our fastest model yet,2024-03-13,newsroom,"The page header is dated Mar 13, 2024 and says Claude 3 Haiku is being released and available in the API and Claude.ai.",Claude 3 family was introduced on 2024-03-04; this is the dedicated Haiku launch announcement.,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-3.5-haiku,anthropic,2024-10-22,https://www.anthropic.com/news/3-5-models-and-computer-use,anthropic.com,"Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku",2024-10-22,newsroom,"This announcement is dated Oct 22, 2024 and explicitly introduces Claude 3.5 Haiku as a new model.","Source is a joint launch post covering computer use, Sonnet 3.5 (new), and Haiku 3.5.",collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-3.5-sonnet,anthropic,2024-06-21,https://www.anthropic.com/news/claude-3-5-sonnet,anthropic.com,Claude 3.5 Sonnet,2024-06-21,newsroom,"The page is dated Jun 21, 2024 and states Anthropic is launching Claude 3.5 Sonnet as the first Claude 3.5 release.",This is the initial Sonnet 3.5 launch; Anthropic later announced an upgraded Sonnet 3.5 on 2024-10-22.,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-3.7-sonnet,anthropic,2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet,anthropic.com,Claude 3.7 Sonnet and Claude Code,2025-02-24,newsroom,"The announcement date is Feb 24, 2025 and it introduces Claude 3.7 Sonnet as Anthropic’s first hybrid reasoning model.",,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-3.7-sonnet:thinking,anthropic,2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet,anthropic.com,Claude 3.7 Sonnet and Claude Code,2025-02-24,newsroom,"Anthropic’s Feb 24, 2025 launch states Claude 3.7 Sonnet includes extended thinking mode; this benchmark model ID maps to anthropic/claude-3.7-sonnet:thinking.",The ':thinking' variant is a reasoning mode/capability of Claude 3.7 Sonnet rather than a separate standalone announcement page. Model ID explicitly mapped to thinking mode in snippet.,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-haiku-4.5,anthropic,2025-10-15,https://www.anthropic.com/news/claude-haiku-4-5,anthropic.com,Introducing Claude Haiku 4.5,2025-10-15,newsroom,"The page is dated Oct 15, 2025 and states Claude Haiku 4.5 is available today.",,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-opus-4,anthropic,2025-05-22,https://www.anthropic.com/news/claude-4,anthropic.com,Introducing Claude 4,2025-05-22,newsroom,"The May 22, 2025 launch post introduces the next generation models: Claude Opus 4 and Claude Sonnet 4.",Opus 4 and Sonnet 4 were announced together in one post.,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-opus-4.1,anthropic,2025-08-05,https://www.anthropic.com/news/claude-opus-4-1,anthropic.com,Claude Opus 4.1,2025-08-05,newsroom,"Dated Aug 5, 2025, this post says Anthropic is releasing Claude Opus 4.1 as an upgrade to Opus 4.",,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-opus-4.5,anthropic,2025-11-24,https://www.anthropic.com/news/claude-opus-4-5,anthropic.com,Introducing Claude Opus 4.5,2025-11-24,newsroom,"The announcement is dated Nov 24, 2025 and says Claude Opus 4.5 is available today.",,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-opus-4.6,anthropic,2026-02-05,https://www.anthropic.com/news/claude-opus-4-6,anthropic.com,Introducing Claude Opus 4.6,2026-02-05,newsroom,"This page is dated Feb 5, 2026 and introduces the new Claude Opus 4.6 model.",,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
