model_id,org,launch_date,evidence_url,evidence_title,evidence_published_date,judge_status,judge_reason,attempt_count,manual_override,manual_notes
anthropic/claude-3-haiku,anthropic,2024-03-13,https://www.anthropic.com/news/claude-3-haiku,Claude 3 Haiku: our fastest model yet,2024-03-13,accepted,Accepted: date and evidence pass strict checks.,1,,
anthropic/claude-3.5-haiku,anthropic,2024-10-22,https://www.anthropic.com/news/3-5-models-and-computer-use,"Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku",2024-10-22,accepted,Accepted: date and evidence pass strict checks.,1,,
anthropic/claude-3.5-sonnet,anthropic,2024-06-21,https://www.anthropic.com/news/claude-3-5-sonnet,Claude 3.5 Sonnet,2024-06-21,accepted,Accepted: date and evidence pass strict checks.,1,,
anthropic/claude-3.7-sonnet,anthropic,2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet,Claude 3.7 Sonnet and Claude Code,2025-02-24,accepted,Accepted: date and evidence pass strict checks.,1,,
anthropic/claude-3.7-sonnet:thinking,anthropic,2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet,Claude 3.7 Sonnet and Claude Code,2025-02-24,accepted,Accepted: date and evidence pass strict checks.,1,,
anthropic/claude-haiku-4.5,anthropic,2025-10-15,https://www.anthropic.com/news/claude-haiku-4-5,Introducing Claude Haiku 4.5,2025-10-15,accepted,Accepted: date and evidence pass strict checks.,1,,
anthropic/claude-opus-4,anthropic,2025-05-22,https://www.anthropic.com/news/claude-4,Introducing Claude 4,2025-05-22,accepted,Accepted: date and evidence pass strict checks.,1,,
anthropic/claude-opus-4.1,anthropic,2025-08-05,https://www.anthropic.com/news/claude-opus-4-1,Claude Opus 4.1,2025-08-05,accepted,Accepted: date and evidence pass strict checks.,1,,
anthropic/claude-opus-4.5,anthropic,2025-11-24,https://www.anthropic.com/news/claude-opus-4-5,Introducing Claude Opus 4.5,2025-11-24,accepted,Accepted: date and evidence pass strict checks.,1,,
anthropic/claude-opus-4.6,anthropic,2026-02-05,https://www.anthropic.com/news/claude-opus-4-6,Introducing Claude Opus 4.6,2026-02-05,accepted,Accepted: date and evidence pass strict checks.,1,,
anthropic/claude-sonnet-4,anthropic,2025-05-22,https://www.anthropic.com/news/claude-4,Introducing Claude 4,2025-05-22,accepted,Accepted: date and evidence pass strict checks.,1,,
anthropic/claude-sonnet-4.5,anthropic,2025-09-29,https://www.anthropic.com/news/claude-sonnet-4-5,Introducing Claude Sonnet 4.5,2025-09-29,accepted,Accepted: date and evidence pass strict checks.,1,,
anthropic/claude-sonnet-4.6,anthropic,2026-02-17,https://www.anthropic.com/news/claude-sonnet-4-6,Introducing Claude Sonnet 4.6,2026-02-17,accepted,Accepted: date and evidence pass strict checks.,1,,
baidu/ernie-4.5-300b-a47b,baidu,2025-06-30,https://ernie.baidu.com/blog/posts/ernie4.5/,Announcing the Open Source Release of the ERNIE 4.5 Model Family,2025-06-30,accepted,Accepted: date and evidence pass strict checks.,1,,
bytedance-seed/seed-1.6,bytedance-seed,2025-06-25,https://seed.bytedance.com/zh/blog/seed1-6-%E7%B3%BB%E5%88%97%E6%A8%A1%E5%9E%8B%E6%8A%80%E6%9C%AF%E4%BB%8B%E7%BB%8D,Seed1.6 系列模型技术介绍,2025-06-25,accepted,Accepted: date and evidence pass strict checks.,1,,
deepseek/deepseek-v3.2,deepseek,2025-12-01,https://api-docs.deepseek.com/news/news251201,DeepSeek-V3.2 Release,2025-12-01,accepted,Accepted: date and evidence pass strict checks.,1,,
